,Nose_Neck_MidHip,RShoulder_Neck_MidHip,LShoulder_Neck_MidHip,RElbow_RShoulder_Neck,LElbow_LShoulder_Neck,RWrist_RElbow_RShoulder,LWrist_LElbow_LShoulder,RHip_MidHip_Neck,LHip_MidHip_Neck,RKnee_RHip_MidHip,LKnee_LHip_MidHip,RAnkle_RKnee_RHip,LAnkle_LKnee_LHip
Pierre-Auguste Renoir_39484_keypoints.npy_39484_3_f,-2.78371262550354,-1.4859464168548584,1.586646318435669,-2.0869412422180176,2.318364143371582,0.41716137528419495,-2.681983470916748,1.8664336204528809,-1.2892247438430786,-1.7862085103988647,2.928183078765869,5e-324,1.863712191581726
Pierre-Auguste Renoir_53280_keypoints.npy_53280_1_f,2.738436698913574,-1.5105403661727905,1.592588186264038,-1.9407304525375366,2.0533907413482666,-1.0561436414718628,-0.8254880905151367,1.6810293197631836,-1.509734034538269,0.2158033400774002,2.2923285961151123,1.849705696105957,2.288166046142578
Pierre-Auguste Renoir_53280_keypoints.npy_53280_2_f,-2.3287932872772217,-1.6005346775054932,1.536835789680481,-2.1241226196289062,1.7719625234603882,2.8773748874664307,5e-324,1.4167710542678833,-1.7873761653900146,5e-324,5e-324,5e-324,5e-324
Pierre-Auguste Renoir_67685_keypoints.npy_67685_1_f,2.278294801712036,1.4499907493591309,-1.5745030641555786,1.8089683055877686,-1.3335139751434326,-2.2639551162719727,-2.0745108127593994,-1.8590381145477295,1.2028405666351318,1.9940367937088013,-0.9898536801338196,2.488403081893921,2.6159353256225586
Pierre-Auguste Renoir_6660_keypoints.npy_6660_1_f,5e-324,1.5053530931472778,-1.6221565008163452,2.4848897457122803,-2.4474399089813232,-1.6572158336639404,1.8190855979919434,-1.860439658164978,1.2842011451721191,1.3968974351882935,-2.1841657161712646,-2.8542544841766357,-2.5122928619384766
Pierre-Auguste Renoir_6660_keypoints.npy_6660_2_f,2.430793523788452,1.4850890636444092,-1.634929895401001,2.0777196884155273,-1.9757938385009766,-2.8197193145751953,-2.5549213886260986,-1.5285744667053223,1.6089133024215698,-2.181046962738037,5e-324,1.2676090002059937,5e-324
Pierre-Auguste Renoir_3897_keypoints.npy_3897_1_f,-2.9351460933685303,-2.147519826889038,0.9333130121231079,-1.7261875867843628,1.2493451833724976,5e-324,0.3548893928527832,0.5081756711006165,-3.076463460922241,-2.514559507369995,1.0325829982757568,5e-324,-1.026653528213501
Pierre-Auguste Renoir_63338_keypoints.npy_63338_1_f,-2.5715584754943848,-1.785232663154602,1.388113260269165,-1.80740487575531,1.841076374053955,0.49140140414237976,2.3522820472717285,1.4487427473068237,-1.783468246459961,5e-324,5e-324,5e-324,5e-324
Pierre-Auguste Renoir_45975_keypoints.npy_45975_1_f,2.693122148513794,-1.5812270641326904,1.5128086805343628,-1.9487900733947754,1.6807119846343994,-2.6481103897094727,-2.0660340785980225,2.0393903255462646,-1.0475767850875854,-0.8478691577911377,5e-324,5e-324,5e-324
Pierre-Auguste Renoir_71768_keypoints.npy_71768_1_f,2.1949315071105957,-1.6442885398864746,1.4529716968536377,-1.291000485420227,1.86519455909729,-1.5290296077728271,-1.1263104677200317,1.6335508823394775,-1.5220413208007812,-1.4713982343673706,1.5433307886123657,2.804285764694214,2.801591157913208
Pierre-Auguste Renoir_17245_keypoints.npy_17245_1_f,-2.0740296840667725,1.3944101333618164,-1.7856520414352417,0.9366722702980042,-2.228893280029297,5e-324,1.1106603145599365,-1.658164143562317,1.3847136497497559,-0.5805639624595642,2.5247185230255127,-1.9599809646606445,-1.236444354057312
Pierre-Auguste Renoir_22964_keypoints.npy_22964_1_f,-2.205354928970337,-1.677905559539795,1.5101145505905151,-2.6774682998657227,1.9955244064331055,1.2789267301559448,2.137866973876953,1.4695255756378174,-1.6120855808258057,5e-324,5e-324,5e-324,5e-324
Pierre-Paul Prud'hon_18250_keypoints.npy_18250_1_m,-3.102447032928467,-1.6771914958953857,1.4822914600372314,2.3734402656555176,1.9209725856781006,1.8844603300094604,-2.528970241546631,1.4833003282546997,-1.605692744255066,-1.7402122020721436,1.9103947877883911,-3.0515520572662354,2.97786283493042
Pierre-Paul Prud'hon_96887_keypoints.npy_96887_1_m,2.367945671081543,-1.7465437650680542,1.4150310754776,-1.9390184879302979,2.8623695373535156,-3.013265371322632,-2.9394664764404297,1.7099370956420898,-1.4309160709381104,-1.1029914617538452,2.29585862159729,2.645519495010376,3.090306520462036
